                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1864,                0.62077,                 1.1495,                0.95352,                0.93824,                0.97036,                0.63318,                 1.3537,                 0.5261,                 1.2925,               0.005446,               0.005446,               0.005446
                     48,                 1.1998,                 0.6335,                 1.1583,                0.95294,                 0.9379,                0.96879,                0.63295,                 1.3566,                0.51825,                 1.2948,               0.005347,               0.005347,               0.005347
                     49,                 1.1847,                 0.6114,                 1.1502,                0.95401,                0.93626,                0.96985,                0.64093,                 1.3478,                0.51704,                 1.2945,               0.005248,               0.005248,               0.005248
                     50,                 1.1886,                0.61548,                 1.1453,                0.95482,                0.93112,                0.96823,                0.63991,                 1.3466,                0.51696,                 1.2918,               0.005149,               0.005149,               0.005149
                     51,                 1.1777,                0.61408,                 1.1435,                0.95838,                 0.9323,                0.96876,                0.63766,                 1.3489,                0.51688,                 1.2941,                0.00505,                0.00505,                0.00505
                     52,                 1.1688,                0.60771,                 1.1432,                0.96375,                0.93705,                0.96932,                0.63987,                 1.3485,                0.51054,                 1.2952,               0.004951,               0.004951,               0.004951
                     53,                 1.1587,                0.60547,                 1.1327,                0.96732,                0.93705,                0.96946,                0.63858,                 1.3457,                0.51163,                 1.2965,               0.004852,               0.004852,               0.004852
                     54,                 1.1732,                0.61447,                 1.1402,                0.96544,                0.93943,                0.97076,                0.63954,                 1.3426,                0.50992,                 1.2943,               0.004753,               0.004753,               0.004753
                     55,                 1.1701,                0.60586,                 1.1374,                0.95976,                0.93482,                0.96919,                0.63865,                 1.3398,                0.51033,                 1.2931,               0.004654,               0.004654,               0.004654
                     56,                 1.1537,                 0.6017,                 1.1335,                0.96913,                0.93198,                 0.9685,                0.63745,                 1.3402,                0.50929,                 1.2949,               0.004555,               0.004555,               0.004555
                     57,                 1.1574,                0.59461,                 1.1346,                0.96313,                0.93079,                 0.9685,                0.64106,                 1.3421,                0.51038,                  1.299,               0.004456,               0.004456,               0.004456
                     58,                 1.1472,                0.59382,                  1.125,                0.96784,                0.92993,                 0.9701,                0.64099,                 1.3473,                0.51277,                 1.2981,               0.004357,               0.004357,               0.004357
                     59,                 1.1485,                0.58604,                 1.1258,                0.96204,                0.93298,                0.96981,                0.64191,                 1.3435,                0.51675,                 1.2937,               0.004258,               0.004258,               0.004258
                     60,                 1.1426,                0.59441,                 1.1241,                 0.9609,                0.93406,                0.97026,                0.64258,                 1.3406,                0.51422,                 1.2935,               0.004159,               0.004159,               0.004159
                     61,                 1.1503,                0.59365,                 1.1343,                0.96558,                0.93297,                0.96981,                 0.6453,                 1.3383,                0.50845,                 1.2926,                0.00406,                0.00406,                0.00406
                     62,                 1.1409,                0.58734,                 1.1185,                0.96562,                0.93408,                 0.9702,                 0.6475,                   1.34,                0.50902,                 1.2935,               0.003961,               0.003961,               0.003961
                     63,                 1.1283,                0.58133,                 1.1159,                0.96123,                0.94215,                0.97058,                0.64503,                  1.342,                0.51073,                 1.2958,               0.003862,               0.003862,               0.003862
                     64,                 1.1289,                0.57794,                 1.1154,                 0.9624,                0.94241,                0.97117,                0.64603,                 1.3402,                0.50722,                 1.2937,               0.003763,               0.003763,               0.003763
                     65,                 1.1081,                0.56675,                 1.1027,                0.96249,                0.94062,                0.97154,                0.64594,                 1.3389,                0.50467,                  1.296,               0.003664,               0.003664,               0.003664
                     66,                 1.1183,                0.56327,                 1.1138,                0.96689,                 0.9363,                0.97268,                0.64803,                  1.338,                0.50237,                 1.2973,               0.003565,               0.003565,               0.003565
                     67,                 1.1068,                0.56629,                 1.1094,                0.96344,                0.93901,                0.97308,                 0.6463,                 1.3372,                 0.5019,                 1.2973,               0.003466,               0.003466,               0.003466
                     68,                 1.1141,                0.56713,                 1.1143,                0.96464,                0.93954,                0.97308,                0.64595,                 1.3357,                0.50118,                 1.2952,               0.003367,               0.003367,               0.003367
                     69,                 1.0993,                   0.56,                 1.1009,                 0.9668,                0.93943,                0.97297,                0.64635,                 1.3354,                0.50171,                 1.2948,               0.003268,               0.003268,               0.003268
                     70,                  1.098,                0.56403,                 1.0987,                0.96953,                0.94469,                0.97402,                0.64716,                 1.3343,                0.50259,                 1.2949,               0.003169,               0.003169,               0.003169
                     71,                 1.0846,                0.55058,                  1.092,                0.96833,                0.94422,                0.97402,                0.64698,                 1.3329,                 0.5025,                 1.2935,                0.00307,                0.00307,                0.00307
                     72,                 1.0843,                 0.5581,                 1.0991,                0.96644,                0.94418,                0.97322,                0.64844,                  1.332,                0.50265,                 1.2938,               0.002971,               0.002971,               0.002971
                     73,                 1.0717,                0.53704,                 1.0861,                  0.963,                0.94062,                0.97094,                0.64803,                 1.3332,                0.50242,                 1.2944,               0.002872,               0.002872,               0.002872
                     74,                 1.0878,                0.54605,                 1.1001,                0.96191,                0.94418,                0.97133,                0.64986,                 1.3329,                0.50164,                 1.2948,               0.002773,               0.002773,               0.002773
                     75,                 1.0791,                0.54713,                 1.0907,                0.96493,                0.93824,                0.97086,                0.64968,                 1.3336,                0.50034,                 1.2964,               0.002674,               0.002674,               0.002674
                     76,                 1.0657,                0.53411,                 1.0835,                0.96695,                0.93815,                0.97092,                0.65042,                 1.3347,                 0.5004,                 1.2974,               0.002575,               0.002575,               0.002575
                     77,                 1.0611,                0.53131,                 1.0808,                0.96578,                0.93824,                0.97093,                0.64934,                  1.334,                0.49933,                 1.2975,               0.002476,               0.002476,               0.002476
                     78,                 1.0588,                0.53199,                 1.0789,                0.96539,                0.93943,                0.97095,                0.64942,                 1.3318,                0.49959,                 1.2952,               0.002377,               0.002377,               0.002377
                     79,                 1.0456,                0.52166,                 1.0767,                0.96581,                0.93939,                0.97098,                 0.6503,                 1.3315,                0.49914,                 1.2952,               0.002278,               0.002278,               0.002278
                     80,                 1.0531,                0.53854,                 1.0824,                0.96768,                0.93943,                0.97178,                0.64966,                 1.3311,                0.49743,                 1.2957,               0.002179,               0.002179,               0.002179
                     81,                 1.0552,                0.53079,                   1.08,                0.96815,                0.93852,                0.97258,                0.65095,                 1.3322,                0.49749,                 1.2963,                0.00208,                0.00208,                0.00208
                     82,                 1.0298,                0.50815,                 1.0732,                0.96014,                0.94412,                0.97197,                0.65007,                 1.3318,                0.49617,                 1.2964,               0.001981,               0.001981,               0.001981
                     83,                  1.028,                0.51431,                 1.0709,                 0.9602,                0.94562,                0.97203,                0.64986,                 1.3334,                0.49563,                 1.2985,               0.001882,               0.001882,               0.001882
                     84,                 1.0277,                0.51618,                 1.0685,                0.96022,                0.94609,                0.97209,                0.65068,                 1.3338,                0.49493,                 1.2988,               0.001783,               0.001783,               0.001783
                     85,                 1.0202,                0.50821,                 1.0647,                0.95939,                0.94656,                0.97231,                0.64981,                 1.3329,                0.49561,                 1.2988,               0.001684,               0.001684,               0.001684
                     86,                 1.0174,                0.50223,                 1.0671,                0.95882,                0.94656,                0.97249,                0.64997,                 1.3331,                0.49425,                 1.2991,               0.001585,               0.001585,               0.001585
                     87,                 1.0156,                0.50752,                 1.0611,                0.95675,                0.94537,                0.97246,                0.65044,                 1.3332,                0.49371,                 1.2992,               0.001486,               0.001486,               0.001486
                     88,                 1.0142,                0.50552,                 1.0618,                 0.9569,                0.94537,                0.97259,                0.65039,                 1.3333,                0.49308,                 1.2997,               0.001387,               0.001387,               0.001387
                     89,                0.99123,                0.49022,                 1.0546,                0.95555,                0.94466,                0.97265,                0.65038,                 1.3328,                0.49351,                 1.2989,               0.001288,               0.001288,               0.001288
                     90,                0.99885,                0.48721,                 1.0543,                0.95776,                0.94299,                 0.9727,                0.64983,                  1.333,                0.49245,                 1.2995,               0.001189,               0.001189,               0.001189
                     91,                 0.9967,                0.49568,                 1.0558,                0.96302,                0.93705,                0.97312,                0.64944,                  1.334,                0.49204,                 1.3012,                0.00109,                0.00109,                0.00109
                     92,                0.98755,                0.48666,                 1.0511,                0.96263,                0.93587,                0.97236,                0.64995,                 1.3349,                0.49209,                 1.3022,               0.000991,               0.000991,               0.000991
                     93,                0.97921,                0.47794,                  1.042,                0.96219,                0.93697,                0.97246,                0.64989,                 1.3343,                0.49155,                 1.3018,               0.000892,               0.000892,               0.000892
                     94,                0.99108,                0.48139,                 1.0501,                0.96189,                0.93705,                0.97237,                0.64996,                 1.3349,                 0.4906,                 1.3028,               0.000793,               0.000793,               0.000793
                     95,                0.97687,                0.48161,                  1.045,                0.95809,                0.94181,                0.97249,                0.64923,                 1.3354,                0.49113,                 1.3037,               0.000694,               0.000694,               0.000694
                     96,                0.96895,                0.47998,                 1.0432,                0.95852,                0.94181,                0.97251,                0.64984,                 1.3357,                0.49151,                 1.3047,               0.000595,               0.000595,               0.000595
                     97,                0.96652,                0.47158,                 1.0434,                0.95888,                0.94169,                0.97246,                0.65025,                  1.336,                0.49208,                 1.3054,               0.000496,               0.000496,               0.000496
                     98,                0.96849,                0.47511,                 1.0455,                0.95888,                0.94158,                0.97249,                0.65047,                 1.3358,                0.49254,                 1.3057,               0.000397,               0.000397,               0.000397
                     99,                0.95367,                0.47205,                   1.03,                0.95906,                0.93943,                0.97248,                0.65105,                 1.3364,                0.49316,                 1.3064,               0.000298,               0.000298,               0.000298
